ms_code,ms_name,PCA1,PCA2,year,cluster,gdp_pp,gdp_tot,pop
PHL,PHILIPPINES,-0.5624205491509736,-0.3980234541705839,1946,3,0.36363636363636365,0.797979797979798,0.9195516241915367
POL,POLAND,1.589249237785498,-0.8557413060359338,1946,2,0.7373737373737375,0.8787878787878789,0.7474747474747475
PRY,PARAGUAY,-0.6276336095653641,-0.42362057969564176,1946,3,0.48484848484848486,0.4467150973448469,0.393939393939394
SAU,SAUDI ARABIA,-0.4479291588495578,0.13352570188506477,1946,1,0.797979797979798,0.888888888888889,0.7171717171717172
SLV,EL SALVADOR,-0.7002983088190738,0.4566283174025898,1946,1,0.43434343434343436,0.4141414141414142,0.37373737373737376
SUN,USSR,1.660171600041104,-1.2610979333147463,1946,2,,,
SWE,SWEDEN,-0.48012360947536753,0.6497233835386798,1946,1,0.9191919191919192,0.8585858585858587,0.48040448114582596
SYR,SYRIAN ARAB REPUBLIC,-0.4155017170559108,0.020765943244163858,1946,1,0.12719692625169896,0.36363636363636365,0.6565656565656566
TUR,TURKEY,-0.5646092813988842,-0.053163264597826776,1946,1,0.6464646464646465,0.8947868849222185,0.8917088014780146
UKR,UKRAINE,1.6627857134160855,-1.2371339799617114,1946,2,0.42424242424242425,0.6565656565656566,0.7676767676767677
URY,URUGUAY,-0.5120850509873057,-0.4970207131846337,1946,3,0.7575757575757577,0.5287622815248523,0.25252525252525254
USA,UNITED STATES,-0.5870639254983285,-0.5698639728495098,1946,3,0.965323845237695,1.0,0.9797979797979799
VEN,VENEZUELA,0.7626867994118716,1.3401460570741552,1946,0,0.6771958026986279,0.8080808080808082,0.686868686868687
YUG,YUGOSLAVIA,1.660171600041104,-1.2610979333147463,1946,2,,,
ZAF,SOUTH AFRICA,-0.5497883353021572,-0.5083466615193565,1946,3,0.46940425949847225,0.7575757575757577,0.8585858585858587
AFG,AFGHANISTAN,0.5811788213773101,1.454954331545668,1947,2,0.010101010101010102,0.26373547486727605,0.787878787878788
ARG,ARGENTINA,-0.5879510919328288,-0.3667186179077266,1947,1,0.6666666666666667,0.8687662746567771,0.797979797979798
AUS,AUSTRALIA,-0.4749315279900455,-0.2512277972449559,1947,1,0.9393939393939394,0.9212121405832422,0.6767676767676768
BEL,BELGIUM,-0.5341660530745261,-0.6251801535168315,1947,1,0.9090909090909092,0.8686868686868687,0.5279440265329193
BLR,BELARUS,1.693039018430397,-1.1895513365255144,1947,3,0.5454545454545455,0.5151515151515152,0.43434343434343436
BOL,BOLIVIA,-0.4799649882079086,-0.34086104678254536,1947,1,0.3434343434343435,0.45494537479854175,0.5356501715748979
BRA,BRAZIL,-0.5888402457130295,-0.29084174353170067,1947,1,0.5926450743543141,0.9494949494949496,0.9595959595959597
CAN,CANADA,-0.7133678966827375,-0.6321906555414608,1947,1,0.8989898989898991,0.9393939393939394,0.7777777777777778
CHL,CHILE,-0.27217417865621474,-0.23839306455993992,1947,1,0.696969696969697,0.7272727272727273,0.6262626262626263
CHN,CHINA,-0.5297678537053304,-0.564793680996485,1947,1,0.636363636363603,0.98989898989899,0.98989898989899
COL,COLOMBIA,0.4960413013146779,0.9297642891928855,1947,0,0.5151515151515152,0.7474747474747475,0.8308215905882168
CRI,COSTA RICA,-0.5275293736825578,0.235572228426695,1947,1,0.686868686868687,0.5757575757575758,0.2984380801970379
CSK,CZECHOSLOVAKIA,1.4020516791403523,0.302110703899237,1947,0,,,
CUB,CUBA,-0.6830109369992936,-0.37880448763740204,1947,1,0.583932522784131,0.6041273477587553,0.5004690310730107
DNK,DENMARK,-0.5003914109313881,-0.43779831553236936,1947,1,0.9418707557339205,0.787878787878788,0.35465133659955655
DOM,DOMINICAN REPUBLIC,-0.6427536306736504,-0.5580310891820894,1947,1,0.5987034312599789,0.6281296639896008,0.5050505050505051
ECU,ECUADOR,0.08341614286787222,0.524061908122322,1947,0,0.494949494949495,0.6262626262626263,0.5858585858585859
EGY,EGYPT,-0.42987540112656414,0.4019669228049418,1947,1,0.3211742359941483,0.7676767676767677,0.9191919191919192
ETH,ETHIOPIA,0.4976659951604519,-0.2361053995233926,1947,0,0.15151515151515152,0.6464646464646465,0.9393939393939394
FRA,FRANCE,-0.3541629736324841,-0.5044774051092532,1947,1,0.8585858585858587,0.9595959595959597,0.8686868686868687
GBR,UNITED KINGDOM,-0.7178022668094904,-0.6513786974115741,1947,1,0.8787878787878789,0.9696969696969697,0.8787878787878789
GRC,GREECE,-0.6373385662313223,-0.3964219356137482,1947,1,0.7676767676767677,0.6767676767676768,0.4646464646464647
GTM,GUATEMALA,-0.31960564069440456,0.012076321477497135,1947,1,0.4545454545454546,0.595959595959596,0.5976583607080117
HND,HONDURAS,-0.7134556767566338,-0.2956552809199901,1947,1,0.31313131313131315,0.4173392615968784,0.494949494949495
HTI,HAITI,0.48695809174249993,1.3496193635721019,1947,2,0.2019592009155964,0.30303030303030304,0.5252525252525253
IND,INDIA,1.1632462368262733,0.7857313652623313,1947,0,0.27272727272727276,0.9719865976796929,1.0
IRN,IRAN (ISLAMIC REPUBLIC OF),-0.47426180009876145,-0.10454080230527776,1947,1,0.4040404040404041,0.7777777777777778,0.8989898989898991
IRQ,IRAQ,-0.46071633602699763,0.23682414272886992,1947,1,0.4444444444444445,0.686868686868687,0.7968312089165054
ISL,ICELAND,-0.40965641711564743,0.08133305206190185,1947,1,0.9494949494949496,0.39552433385644775,0.08080808080808081
LBN,LEBANON,-0.6155111566963062,0.23024138594102292,1947,1,0.33917328207583936,0.33333333333333337,0.3434343434343435
LBR,LIBERIA,0.6663364163322756,-0.7316613588998607,1947,0,0.071978973564154,0.13131313131313133,0.32323232323232326
LUX,LUXEMBOURG,-0.5350806885224054,-0.349882847787655,1947,1,0.98989898989899,0.5712727519843749,0.12121212121212122
MEX,MEXICO,-0.5118474573015179,-0.1783189796783303,1947,1,0.6565656565656566,0.9292929292929294,0.9400934391278268
NIC,NICARAGUA,-0.7782560420054006,-0.13512289875125824,1947,1,0.29292929292929293,0.27272727272727276,0.38383838383838387
NLD,NETHERLANDS,-0.6050396111686859,-0.29338133292289986,1947,1,0.9292929292929294,0.8989898989898991,0.5839886559839527
NOR,NORWAY,-0.4696483585530738,-0.4810745986033218,1947,1,0.9718702471753256,0.8181818181818182,0.33333333333333337
NZL,NEW ZEALAND,-0.6521257427846457,-0.5891732400174142,1947,1,0.8686868686868687,0.696969696969697,0.30763098542243916
PAK,PAKISTAN,0.5862571164167255,1.7323314000637342,1947,2,0.16161616161616163,0.7304038580279077,0.9696969696969697
PAN,PANAMA,-0.590276601377168,-0.14688431039436337,1947,1,0.70883871908059,0.5532582449119411,0.27272727272727276
PER,PERU,-0.7058712031962519,-0.5750802676408646,1947,1,0.5555555555555556,0.7070707070707072,0.7277082215597619
PHL,PHILIPPINES,-0.4930796428643204,-0.3071002309768417,1947,1,0.36363636363636365,0.797979797979798,0.9195516241915367
POL,POLAND,1.6383215289294422,-1.0167483578257146,1947,3,0.7373737373737375,0.8787878787878789,0.7474747474747475
PRY,PARAGUAY,-0.3217081013379268,0.12190711558210598,1947,1,0.48484848484848486,0.4467150973448469,0.393939393939394
SAU,SAUDI ARABIA,0.010042708968829797,0.9308773284998825,1947,0,0.797979797979798,0.888888888888889,0.7171717171717172
SLV,EL SALVADOR,-0.7037397181222159,0.2220887041021474,1947,1,0.43434343434343436,0.4141414141414142,0.37373737373737376
SUN,USSR,1.6904655318431125,-1.176572254043639,1947,3,,,
SWE,SWEDEN,-0.3812896723039577,0.48885968516909517,1947,1,0.9191919191919192,0.8585858585858587,0.48040448114582596
SYR,SYRIAN ARAB REPUBLIC,0.019010670270804504,0.8560798294707268,1947,0,0.12719692625169896,0.36363636363636365,0.6565656565656566
THA,THAILAND,0.8735557851950656,1.843083518579478,1947,2,0.5252525252525253,0.8484848484848485,0.8810559953182191
TUR,TURKEY,-0.6156582755032434,0.07793667607613833,1947,1,0.6464646464646465,0.8947868849222185,0.8917088014780146
UKR,UKRAINE,1.6930390184303965,-1.1895513365255144,1947,3,0.42424242424242425,0.6565656565656566,0.7676767676767677
URY,URUGUAY,-0.5391995364499187,-0.6487823474455694,1947,1,0.7575757575757577,0.5287622815248523,0.25252525252525254
USA,UNITED STATES,-0.6448353477046187,-0.6947888049055021,1947,1,0.965323845237695,1.0,0.9797979797979799
VEN,VENEZUELA,0.20476995872352588,0.43819725808112203,1947,0,0.6771958026986279,0.8080808080808082,0.686868686868687
YEM,YEMEN,0.8548878474287106,1.8845500928759753,1947,2,0.017865269604989617,0.3384695759799278,0.774758218889851
YUG,YUGOSLAVIA,1.6908236084729167,-1.151997889340047,1947,3,,,
ZAF,SOUTH AFRICA,-0.6413038478616476,-0.6162622068477602,1947,1,0.46940425949847225,0.7575757575757577,0.8585858585858587
AFG,AFGHANISTAN,0.08011688640979948,1.3840197633758597,1948,2,0.010101010101010102,0.26373547486727605,0.787878787878788
ARG,ARGENTINA,-0.5695671496276072,-0.47644652758971967,1948,0,0.6666666666666667,0.8687662746567771,0.797979797979798
AUS,AUSTRALIA,-0.4790416364926257,-0.3160409130687027,1948,0,0.9393939393939394,0.9212121405832422,0.6767676767676768
BEL,BELGIUM,-0.43593738038894386,-0.7336943313502681,1948,0,0.9090909090909092,0.8686868686868687,0.5279440265329193
BLR,BELARUS,1.7971905215167108,-0.8294567041849179,1948,1,0.5454545454545455,0.5151515151515152,0.43434343434343436
BOL,BOLIVIA,-0.4901702502282934,-0.4187866706230815,1948,0,0.3434343434343435,0.45494537479854175,0.5356501715748979
BRA,BRAZIL,-0.5161761198975524,-0.46880365291119397,1948,0,0.5926450743543141,0.9494949494949496,0.9595959595959597
CAN,CANADA,-0.5641057602949937,-0.7735820488554352,1948,0,0.8989898989898991,0.9393939393939394,0.7777777777777778
CHL,CHILE,-0.3620987485405557,-0.20699550293154223,1948,0,0.696969696969697,0.7272727272727273,0.6262626262626263
CHN,CHINA,-0.5152714322696577,-0.656973513045069,1948,0,0.636363636363603,0.98989898989899,0.98989898989899
COL,COLOMBIA,-0.01216083057513117,0.887444669611577,1948,2,0.5151515151515152,0.7474747474747475,0.8308215905882168
CRI,COSTA RICA,-0.42839579704533703,0.18330671179540894,1948,0,0.686868686868687,0.5757575757575758,0.2984380801970379
CSK,CZECHOSLOVAKIA,1.5409571224405714,0.32276946112764465,1948,1,,,
CUB,CUBA,-0.5274085526609539,-0.5123021614367067,1948,0,0.583932522784131,0.6041273477587553,0.5004690310730107
DNK,DENMARK,-0.4971153591813071,-0.5454079478874027,1948,0,0.9418707557339205,0.787878787878788,0.35465133659955655
DOM,DOMINICAN REPUBLIC,-0.6188532858832412,-0.6348700700147184,1948,0,0.5987034312599789,0.6281296639896008,0.5050505050505051
ECU,ECUADOR,-0.2450983826797132,0.4792980592205034,1948,0,0.494949494949495,0.6262626262626263,0.5858585858585859
EGY,EGYPT,-0.3785859917522261,0.21364313525449283,1948,0,0.3211742359941483,0.7676767676767677,0.9191919191919192
ETH,ETHIOPIA,0.2293538414723136,-0.14298338570706762,1948,0,0.15151515151515152,0.6464646464646465,0.9393939393939394
