Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Grenada,GRD,114676,115130,115438,115691,115981,116341,116688,116913,117081
"Population, total",SP.POP.TOTL,Guam,GUM,164905,164233,163490,162679,161808,162158,163730,165180,166506
"Population, total",SP.POP.TOTL,Guatemala,GTM,15971743,16268760,16567357,16845685,17103803,17357325,17598650,17847877,18124838
"Population, total",SP.POP.TOTL,Guinea,GIN,11767070,12073030,12385659,12704774,13034346,13371183,13710513,14055137,14405468
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1786457,1831893,1877072,1922168,1967696,2013255,2058841,2105529,2153339
"Population, total",SP.POP.TOTL,Guyana,GUY,758781,763548,768479,791556,807665,807481,815482,821637,826353
"Population, total",SP.POP.TOTL,Haiti,HTI,10523242,10671457,10817754,10962362,11105163,11243848,11374586,11503606,11637398
"Population, total",SP.POP.TOTL,Honduras,HND,9237305,9412380,9588137,9765210,9943633,10119640,10289877,10463872,10644851
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100
"Population, total",SP.POP.TOTL,Hungary,HUN,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9644377,9592186
"Population, total",SP.POP.TOTL,Iceland,ISL,330815,335439,343400,352721,360563,366463,372520,382003,393349
"Population, total",SP.POP.TOTL,India,IND,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596
"Population, total",SP.POP.TOTL,Indonesia,IDN,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,82619362,83812228,85026754,86117998,87051648,87723443,88455488,89524246,90608707
"Population, total",SP.POP.TOTL,Iraq,IRQ,37560535,38469627,39337353,40265624,41192171,42116605,43071211,44070551,45074049
"Population, total",SP.POP.TOTL,Ireland,IRL,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5165700,5307600
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83593,83466,83609,83805,83957,84064,84106,84132,84165
"Population, total",SP.POP.TOTL,Israel,ISR,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9756600
"Population, total",SP.POP.TOTL,Italy,ITA,60730582,60627498,60536709,60421760,59729081,59438851,59133173,59013667,58993475
"Population, total",SP.POP.TOTL,Jamaica,JAM,2802534,2809915,2815764,2820097,2823271,2830739,2837682,2839144,2839786
"Population, total",SP.POP.TOTL,Japan,JPN,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650
"Population, total",SP.POP.TOTL,Jordan,JOR,9544729,10006367,10234226,10462306,10671891,10865228,11066356,11256263,11439213
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18084169,18363600,18651931,18932727,19209555,19482117,19743603,20034609,20330104
"Population, total",SP.POP.TOTL,Kenya,KEN,47088526,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003
"Population, total",SP.POP.TOTL,Kiribati,KIR,116815,118478,120275,122084,123921,126099,128377,130469,132530
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25575350,25698326,25817709,25931147,26037632,26136312,26232534,26328845,26418204
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51014947,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788274,1777568,1791019,1797086,1788891,1790152,1786080,1768096,1756366
"Population, total",SP.POP.TOTL,Kuwait,KWT,3834574,4004096,4154812,4323515,4442316,4400267,4360865,4589643,4853420
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6040035.5,6175337.5,6306695.5,6444078.5,6590211,6726595.5,6851224,6975219.5,7099750
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6801645,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993
"Population, total",SP.POP.TOTL,Latvia,LVA,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1877445
"Population, total",SP.POP.TOTL,Lebanon,LBN,6472469,6323060,6160128,5984119,5794594,5702398,5718122,5744489,5773493
"Population, total",SP.POP.TOTL,Lesotho,LSO,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472
